University,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL
Southwestern College,1104,1230,1161,22,29,26.5,29310,Private College,Rolling,3.38,76,6.0,1.0,7026-12791,25.0,http://swcc.edu/
Southwestern College,1104,1230,1161,22,29,26.5,29310,Private College,Rolling,3.38,76,6.0,1.0,7026-12791,25.0,http://swc.edu/
Univeristy of New Mexico,985,1233,1109,20,29,24.5,14440,Public University,March 1,3.12,75,6.0,1.0,2796-7292,20.0,http://unm.edu/
University of the Southwest,946,1173,1050,21,26,24.5,16670,Public University,Rolling,2.81,72,6.0,1.0,3265-5478,22.0,http://usw.edu/
College of Southern Nevada,1064,1319,1200,20,31,24.5,2000,Private College,July 1,3.59,79,7.0,1.0,6088-10868,28.0,http://csn.edu/
Great Basin College,1080,1338,1212,23,30,28.5,3855,Private College,Rolling,3.67,78,6.0,1.0,5054-11044,27.0,http://gbcnv.edu/
Pima Medical Institute,1065,1181,1124,21,28,25.5,13180,Public University,February 1,2.94,74,7.0,1.0,3935-9111,15.0,http://pmi.edu/
Sierra Nevada College,1002,1237,1132,23,26,25.5,37660,Private College,January 15,3.33,87,6.5,1.0,6594-16773,36.0,http://sierranevada.edu/
Truckee Meadows Community College,962,1141,1062,17,19,17.5,3144,Public Community College,2025-05-02,2.27,63,6.0,1.0,1666-2797,10.0,http://tmcc.edu/
University of Nevada Las Vegas,980,1230,1091,20,22,21.0,9142,Public University,June 1,3.31,76,6.5,1.0,3180-5934,24.0,http://unlv.edu/
University of Nevada Reno,1103,1273,1203,18,22,18.5,8994,Public,2025-08-20,2.88,84,6.5,1.0,4228-9925,22.0,http://unr.edu/
Western Nevada College,1150,1315,1252,20,26,22.0,3920,Private College,June 1,3.3,78,6.5,1.0,7474-16603,27.0,http://wnc.edu/
Adelphi University,1140,1310,1224,22,31,27.5,47290,Private,2025-12-08,3.24,89,7.0,1.0,6189-10297,38.0,http://adelphi.edu/
University at Albany,1051,1150,1110,21,28,25.5,10408,Public University,Rolling,3.21,74,6.0,1.0,3844-8412,20.0,http://albany.edu/
Alfred University,1100,1280,1205,20,23,21.5,39530,Public University,2025-12-04,2.82,85,7.0,1.0,4262-9984,20.0,http://alfred.edu/
The American Musical and Dramatic Academy,924,1265,1110,18,25,19.5,15750,Public University,July 1,3.15,79,7.0,1.0,3014-9285,21.0,http://amda.edu/
ASA College,1112,1356,1240,20,28,23.0,35904,Private College,Rolling,3.31,86,6.0,1.0,7091-13240,35.0,http://asa.edu/
Bard College,1019,1411,1217,22,32,28.0,39940,Private College,June 1,3.54,90,6.5,1.0,6087-11505,39.0,http://bard.edu/
Barnard College,1453,1550,1500,21,29,25.0,66246,Private College,July 1,3.11,81,7.0,1.0,6203-11394,30.0,http://barnard.edu/
Binghamton University,1320,1490,1415,20,24,22.0,10363,Public,June 1,3.13,78,6.5,1.0,4335-7521,24.0,http://binghamton.edu/
The College at Brockport,1045,1265,1156,20,31,24.5,31990,Private College,February 1,3.56,88,7.0,0.0,6636-15847,37.0,http://brockport.edu/
University at Buffalo,1210,1380,1298,19,24,20.5,10782,Public,2025-02-01,2.81,78,6.0,1.0,5194-11604,24.0,http://buffalo.edu/
Buffalo State University,1210,1380,1298,17,27,24.0,10782,Public University,March 1,3.08,81,6.0,1.0,4268-10612,23.0,http://buffalostate.edu/
Cazenovia College,1100,1337,1236,23,26,25.5,14344,Private,July 1,3.4,89,7.0,1.0,7126-15779,38.0,http://cazenovia.edu/
Clarkson University,1198,1390,1307,17,23,22.0,57950,Public University,March 1,3.02,85,6.0,1.0,4367-9049,17.0,http://clarkson.edu/
Clinton Community College,820,1055,948,18,24,21.0,6831,Public Community College,March 1,2.59,74,5.5,1.0,1260-2449,10.0,http://clinton.edu/
The College of New Rochelle,1031,1262,1140,23,31,29.0,19640,Private College,February 1,3.34,86,7.0,0.0,6950-11079,35.0,http://cnr.edu/
Cobleskill University,999,1295,1145,20,26,23.0,10000,Public University,February 1,3.46,80,7.0,1.0,3583-10091,18.0,http://cobleskill.edu/
Colgate University,1430,1530,1480,18,29,21.5,67024,Public University,March 1,2.88,75,6.0,1.0,3603-7292,22.0,http://colgate.edu/
Columbia University in the City of New York,1490,1570,1547,17,28,24.5,69045,Public University,June 1,3.23,82,6.5,0.0,5860-8068,23.0,http://columbia.edu/
Concordia College New York,1173,1356,1274,24,26,24.5,28840,Private College,Rolling,3.12,82,6.0,1.0,6302-13408,31.0,http://concordia-ny.edu/
The Cooper Union,1073,1167,1107,19,25,21.0,10000,Public University,January 15,2.9,79,6.5,1.0,4178-10778,25.0,http://cooper.edu/
Cornell University,1019,1295,1139,20,28,24.0,10000,Public University,June 1,3.25,82,6.5,1.0,5507-11912,23.0,http://cornell.edu/
Cortland College,1075,1376,1214,20,28,23.0,6946,Private College,February 1,3.28,76,7.0,1.0,5388-15835,25.0,http://cortland.edu/
The City University of New York,939,1357,1156,19,22,19.5,1000000,Public,February 1,3.04,76,7.0,1.0,2387-7440,21.0,http://cuny.edu/
The College of Westchester,1048,1379,1196,20,30,24.0,24705,Private College,February 1,3.28,86,7.0,1.0,8768-18573,35.0,http://cw.edu/
Daemen College,1092,1306,1210,21,26,23.5,9500,Private,June 1,3.2,77,6.5,1.0,6605-12353,33.0,http://daemen.edu/
Dominican College,1022,1359,1170,20,27,22.5,27027,Private,Rolling,3.29,88,6.0,1.0,5613-15590,37.0,http://dc.edu/
Delhi State University of New York,980,1343,1166,17,28,24.5,11400,Public University,June 1,3.43,74,6.5,1.0,2170-6847,20.0,http://delhi.edu/
Dowling College,1083,1334,1228,24,28,24.5,33030,Private College,February 1,3.1,82,7.0,1.0,8776-14687,31.0,http://dowling.edu/
D’Youville College,1016,1319,1158,21,30,25.5,26360,Private College,February 1,3.25,86,7.0,1.0,6546-16330,35.0,http://dyc.edu/
Erie Community College State University of New York,829,1073,947,17,21,18.0,6000,Public Community College,Rolling,2.59,71,5.5,1.0,1199-2524,12.0,http://ecc.edu/
Elim Bible Institute,988,1332,1143,17,22,21.5,10480,Public University,Rolling,3.08,84,6.0,1.0,2756-6781,17.0,http://elim.edu/
Elmira College,1116,1332,1239,22,28,26.0,37932,Private College,Rolling,3.33,82,6.0,0.0,8970-13019,31.0,http://elmira.edu/
Empire State College,1008,1352,1171,18,22,18.5,10000,Public College,February 1,3.41,76,7.0,1.0,5113-9251,22.0,http://esc.edu/
College of Environmental Science and Forestry,1081,1369,1228,20,31,24.5,9206,Private College,January 15,3.3,79,6.5,1.0,5084-15359,28.0,http://esf.edu/
Farmingdale State College,1020,1200,1104,19,26,21.5,8576,Public College,Rolling,3.48,72,6.0,1.0,4331-6655,18.0,http://farmingdale.edu/
Fashion Institute of Technology,997,1292,1128,19,24,20.5,6170,Public University,Rolling,2.82,70,6.0,1.0,2488-6801,18.0,http://fitnyc.edu/
Finger Lakes Community College,817,994,902,17,24,19.5,6138,Public Community College,2025-03-25,2.23,74,5.5,1.0,894-2248,15.0,http://flcc.edu/
Fordham University,1330,1490,1412,18,29,21.5,61992,Public University,January 15,3.31,83,6.5,1.0,5092-9562,16.0,http://fordham.edu/
Fredonia University,1009,1197,1093,17,28,24.5,24825,Public,Rolling,3.11,82,6.0,1.0,2799-7337,16.0,http://fredonia.edu/
Five Towns College,1098,1290,1210,21,31,26.0,29950,Private College,Rolling,3.63,88,6.0,1.0,6307-16008,37.0,http://ftc.edu/
Geneseo University,1039,1252,1136,18,26,20.0,8999,Public University,Rolling,3.24,80,6.0,1.0,3903-6653,25.0,http://geneseo.edu/
Globe Institute of Technology,1113,1235,1178,17,25,23.0,13390,Public University,July 1,2.86,79,7.0,0.0,4334-10662,19.0,http://globe.edu/
The General Theological Seminary,1064,1179,1110,21,26,24.5,12010,Public University,2025-09-20,3.4,72,6.5,1.0,2711-4856,20.0,http://gts.edu/
Hamilton College,1410,1550,1487,23,28,27.5,65740,Private College,January 15,3.45,89,6.5,1.0,6443-12872,38.0,http://hamilton.edu/
Hartwick College,1090,1280,1170,22,28,26.0,52849,Private College,January 15,3.19,80,6.5,1.0,5454-15999,36.0,http://hartwick.edu/
Herkimer College,1021,1328,1172,20,26,22.0,5776,Private College,July 1,3.64,83,7.0,1.0,7545-16429,32.0,http://herkimer.edu/
Hofstra University,1210,1380,1294,20,24,22.0,55450,Public University,Rolling,3.49,78,6.0,1.0,5069-9247,20.0,http://hofstra.edu/
Hudson Valley Community College,791,1010,884,16,22,17.0,6694,Public Community College,January 15,2.48,78,6.0,1.0,1510-2912,15.0,http://hvcc.edu/
Hobart and William Smith Colleges,1096,1379,1222,20,29,23.5,25530,Private College,2025-11-15,3.6,88,7.0,1.0,5878-14219,37.0,http://hws.edu/
Institute of Design and Construction,1017,1201,1091,21,22,21.5,9690,Public University,February 1,2.84,84,7.0,1.0,5759-12024,17.0,http://idc.edu/
Iona College,1066,1370,1209,21,26,23.5,21600,Private College,2025-12-05,3.3,81,7.0,1.0,6740-16212,30.0,http://iona.edu/
Ithaca College,1190,1370,1285,21,30,25.5,50510,Private College,June 1,3.41,76,6.5,1.0,7655-18398,25.0,http://ithaca.edu/
The Jewish Theological Seminary,1440,1559,1507,20,27,23.5,65545,Public University,March 1,3.25,81,6.0,1.0,3098-6052,15.0,http://jtsa.edu/
The Juilliard School,1072,1322,1183,21,26,24.5,56550,Public University,Rolling,3.01,72,6.0,1.0,2603-8275,24.0,http://juilliard.edu/
Keuka College,1008,1183,1090,24,27,24.5,38000,Private College,March 1,3.18,81,6.0,1.0,6251-12091,30.0,http://keuka.edu/
Lehman College,860,1220,1010,24,28,24.5,7410,Private College,January 15,3.29,79,6.5,1.0,8757-13254,28.0,http://lehman.edu/
Le Moyne,1160,1340,1260,20,25,22.5,38970,Public University,July 1,3.44,79,7.0,1.0,3529-8801,16.0,http://lemoyne.edu/
Lim College,990,1200,1090,21,32,26.5,31950,Private College,Rolling,3.1,82,6.0,1.0,5411-17311,31.0,http://limcollege.edu/
Long Island University,1140,1350,1259,17,23,22.0,41642,Public University,July 1,3.22,85,7.0,1.0,2479-9011,23.0,http://liu.edu/
Manhattan College,1098,1224,1153,20,32,25.0,5170,Private College,Rolling,3.69,80,6.0,1.0,6286-10374,29.0,http://manhattan.edu/
Marist College,1156,1396,1256,20,26,22.0,10000,Private College,2025-03-10,3.61,85,6.5,1.0,6204-11511,34.0,http://marist.edu/
Metropolitan College of New York,1144,1298,1205,24,28,24.5,20188,Private,July 1,3.12,87,7.0,1.0,5303-14553,36.0,http://mcny.edu/
Mercy College,1062,1303,1190,22,26,25.0,9000,Private College,June 1,3.49,88,6.5,1.0,6579-12474,37.0,http://mercy.edu/
Marymount Manhattan College,1100,1300,1226,21,31,26.0,40260,Private College,February 1,3.52,78,7.0,1.0,5255-9531,27.0,http://mmm.edu/
Monroe Community College,839,949,899,18,22,20.0,5856,Public Community College,January 15,2.45,70,5.5,1.0,820-1767,11.0,http://monroecc.edu/
Morrisville State College,1047,1175,1114,17,26,23.5,4000,Public College,February 1,2.82,80,7.0,1.0,2771-8616,21.0,http://morrisville.edu/
Mount Saint Marry College,1101,1360,1240,22,26,25.0,30000,Private College,January 15,3.6,83,6.5,1.0,8748-16785,32.0,http://msmc.edu/
Icahn School of Medicine at Mount Sinai,1013,1175,1101,20,27,23.5,7820,Public University,2025-06-01,2.95,73,7.5,1.0,5394-10749,25.0,http://mssm.edu/
Manhattanville College,1075,1293,1179,20,30,24.0,10000,Private College,March 1,3.54,83,6.0,1.0,7451-15373,32.0,http://mville.edu/
Nazareth College,1117,1328,1214,20,31,24.5,1000,Private College,February 1,3.15,88,7.0,1.0,6609-16324,37.0,http://naz.edu/
Nassau Community College,807,959,894,18,20,19.0,6330,Public Community College,July 1,2.4,70,6.5,1.0,932-2221,11.0,http://ncc.edu/
New Paltz,1170,1340,1267,20,22,21.0,8524,Public,February 1,3.24,84,7.0,1.0,5006-10599,23.0,http://newpaltz.edu/
The New School,1103,1215,1170,19,22,19.5,56386,Public University,June 1,2.83,84,6.5,1.0,3762-9312,15.0,http://newschool.edu/
Niagara University,1030,1240,1155,22,29,26.5,38135,Private,2025-05-01,3.42,79,6.0,1.0,8547-15684,30.0,http://niagara.edu/
Nyack College,1102,1276,1195,24,29,24.5,10000,Private College,June 1,3.62,90,6.5,1.0,6300-14592,39.0,http://nyack.edu/
New York College of Health Professions,1123,1311,1224,21,27,24.0,14235,Private College,March 1,3.63,83,6.0,1.0,6493-17163,32.0,http://nycollege.edu/
New York Film Academy,1027,1319,1155,21,27,25.0,11680,Public University,2025-06-20,3.5,81,6.0,1.0,4181-10357,25.0,http://nyfa.edu/
New York Institute of Technology,1180,1390,1290,18,22,18.5,44360,Public University,February 1,3.32,84,7.0,1.0,4886-6921,25.0,http://nyit.edu/
New York University,1170,1340,1267,20,24,22.0,8524,Public University,June 1,3.4,70,6.5,1.0,3670-5956,21.0,http://nyu.edu/
State University of New York at Oneonta,1073,1260,1152,19,22,19.5,8000,Public University,June 1,2.92,75,6.0,1.0,5111-11246,21.0,http://oneonta.edu/
State University of New York at Oswego,1060,1270,1177,20,23,21.5,8769,Public,July 1,3.43,85,7.0,1.0,2002-6779,20.0,http://oswego.edu/
Pace University,1130,1328,1232,19,23,20.0,51424,Public University,March 1,3.12,85,6.0,1.0,4798-10788,24.0,http://pace.edu/
Paul Smith’s College,1176,1363,1282,22,28,26.0,32049,Private College,June 1,3.54,88,6.5,1.0,6817-10936,37.0,http://paulsmiths.edu/
State University of New York at Plattsburgh,1100,1270,1180,18,28,21.0,8881,Public University,Rolling,3.44,74,6.0,0.0,4192-9312,23.0,http://plattsburgh.edu/
State University of New York at Potsdam,946,1303,1130,20,25,22.5,11090,Public University,March 1,3.32,71,6.0,1.0,4395-9116,19.0,http://potsdam.edu/
Pratt Institute,1220,1420,1339,21,29,26.0,59683,Public University,July 1,3.38,83,7.0,1.0,3853-6983,16.0,http://pratt.edu/
Purchase College,1178,1363,1277,21,32,26.5,8953,Private College,2025-12-06,3.52,80,6.5,1.0,6706-13783,29.0,http://purchase.edu/
Rochester Institute of Technology,1280,1460,1378,19,22,19.5,57016,Public University,2025-12-20,3.01,84,6.5,1.0,3554-6026,20.0,http://rit.edu/
Roberts Wesleyan College,1151,1226,1204,20,31,24.5,36880,Private College,February 1,3.54,78,7.0,1.0,5911-12854,27.0,http://roberts.edu/
University of Rochester,1400,1540,1480,19,22,19.5,64348,Public University,Rolling,2.86,84,6.0,1.0,5411-10240,25.0,http://rochester.edu/
Rensselaer Polytechnic Institute,1330,1500,1415,19,23,20.0,61884,Public University,March 1,3.14,77,6.0,1.0,5942-11440,22.0,http://rpi.edu/
The Sages Colleges,1097,1236,1168,20,27,22.5,10000,Private College,March 1,3.23,81,6.0,1.0,7328-11446,30.0,http://sage.edu/
Saint Bonaventure University,1027,1182,1116,17,28,24.5,20000,Public University,Rolling,3.13,82,6.0,1.0,2272-5436,25.0,http://sbu.edu/
The New York Conservatory for Dramatic Arts,1016,1165,1106,19,22,19.5,10180,Public University,June 1,3.38,84,6.5,1.0,3261-5625,15.0,http://sft.edu/
Siena College,1093,1360,1238,20,28,23.0,44405,Private College,July 1,3.59,77,7.0,1.0,8185-12395,26.0,http://siena.edu/
Saint John Fisher College,1141,1282,1196,22,32,28.0,28850,Private College,June 1,3.27,78,6.5,1.0,6182-14162,27.0,http://sjfc.edu/
Skidmore College,1300,1460,1388,21,26,23.5,65030,Private College,Rolling,3.53,88,6.0,1.0,6449-14836,37.0,http://skidmore.edu/
Sarah Lawrence College,1270,1440,1374,23,27,26.5,63678,Private College,February 1,3.45,76,7.0,1.0,8003-12828,25.0,http://slc.edu/
Saint Bernard’s School of Theology and Ministry,939,1294,1116,20,22,21.0,10480,Public University,February 1,3.35,76,7.0,1.0,5755-8666,15.0,http://stbernards.edu/
Saint John’s University,1016,1325,1156,20,23,21.5,16480,Public University,January 15,3.0,85,6.5,1.0,3534-8574,20.0,http://stjohns.edu/
Saint Lawrence University,1110,1337,1224,18,29,21.5,10000,Public University,2025-03-02,3.11,83,7.0,1.0,5110-8918,21.0,http://stlawu.edu/
Stony Brook University,1320,1490,1410,19,28,22.5,10560,Public,February 1,3.02,74,7.0,1.0,4443-10354,19.0,http://stonybrook.edu/
Stony Brook Medicine,960,1331,1150,21,24,23.5,10790,Public University,2025-04-15,3.14,70,7.0,1.0,2313-7060,16.0,http://stonybrookmedicine.edu/
The College of Saint Rose,1154,1277,1214,21,31,26.0,37452,Private College,July 1,3.29,81,7.0,0.0,5440-17150,30.0,http://strose.edu/
State University of New York,1170,1340,1267,21,28,25.5,8524,Public University,February 1,2.8,74,7.0,0.0,4587-9448,17.0,http://suny.edu/
State University of New York at Adirondack,1026,1325,1194,17,29,25.0,13330,Public University,July 1,2.81,83,7.0,1.0,5383-11882,15.0,http://sunyacc.edu/
State University of New Institute of Technology,967,1295,1136,19,29,23.0,58590,Public University,2025-12-25,3.28,83,6.0,1.0,2606-8908,20.0,http://sunyit.edu/
Jamestown Community College,978,1113,1046,16,23,17.5,6600,Public Community College,February 1,2.7,73,6.5,1.0,1202-2706,15.0,http://sunyjcc.edu/
Orange County Community College,942,1189,1072,15,23,21.0,6382,Public Community College,2025-12-11,2.46,67,6.5,1.0,1076-1979,15.0,http://sunyorange.edu/
Rockland Community College,926,1044,967,16,22,17.0,6398,Public Community College,January 15,2.57,66,6.0,1.0,1654-3272,12.0,http://sunyrockland.edu/
Suffolk County Community College,881,1077,998,17,19,17.5,6440,Public Community College,June 1,2.33,63,6.0,1.0,1207-2862,13.0,http://sunysuffolk.edu/
Westchester Community College,795,917,867,17,23,19.0,5696,Public Community College,February 1,2.67,73,6.5,1.0,1154-2702,16.0,http://sunywcc.edu/
Syracuse University,1260,1430,1351,19,22,19.5,63061,Public University,June 1,3.46,76,6.5,1.0,4228-9166,19.0,http://syr.edu/
Tompkins Cortland Community College,947,1151,1050,15,19,18.5,6946,Public Community College,June 1,2.24,75,6.0,1.0,1691-3375,14.0,http://tc3.edu/
The Touro College and University System,1075,1324,1186,17,22,21.5,9840,Public University,Rolling,3.34,84,6.0,1.0,5110-7284,24.0,http://touro.edu/
Touro College Jacob D. Fuchsberg Law Center,1155,1277,1223,20,26,22.0,38760,Private College,July 1,3.52,75,7.0,1.0,8050-12608,40.0,http://tourolaw.edu/
Union College,1310,1480,1410,23,32,29.5,66456,Private College,2025-01-15,3.27,79,6.5,1.0,8061-16230,28.0,http://ucollege.edu/
Union College,1310,1480,1410,23,32,29.5,66456,Private College,2025-01-15,3.27,79,6.5,1.0,8061-16230,28.0,http://union.edu/
Upstate  Medical University,965,1266,1112,19,23,20.0,11090,Public University,January 15,3.47,85,6.5,0.0,3009-5736,20.0,http://upstate.edu/
United States Military Academy West Point,1200,1430,1355,17,26,23.5,11230,Public University,Rolling,2.89,72,6.0,1.0,5160-10247,20.0,http://usma.edu/
Utica College,1063,1362,1222,22,28,26.0,150000,Private College,March 1,3.53,79,6.0,1.0,5488-14913,28.0,http://utica.edu/
Vassar College,1435,1550,1513,24,26,24.5,67805,Private College,2025-12-25,3.47,86,7.0,1.0,6909-15373,35.0,http://vassar.edu/
Wagner College,1150,1320,1234,22,26,25.0,52000,Private College,March 1,3.17,89,6.0,1.0,8657-20635,38.0,http://wagner.edu/
Wells College,1034,1280,1142,20,28,23.0,35166,Private College,February 1,3.7,84,7.0,1.0,7351-18617,33.0,http://wells.edu/
Yeshiva University,1320,1500,1410,17,28,24.5,49900,Public University,June 1,2.81,74,6.5,1.0,5252-7802,25.0,http://yu.edu/
Canton State University of New York,981,1211,1100,21,23,22.5,10000,Public University,July 1,2.86,77,7.0,1.0,5144-11553,22.0,http://canton.edu/
Excelsior College,1108,1340,1240,24,30,25.0,10000,Private College,July 1,3.69,81,7.0,1.0,5277-10399,30.0,http://excelsior.edu/
Culinary Institute of America,970,1195,1089,20,22,21.0,38410,Public University,Rolling,3.35,84,6.0,0.0,3448-8355,22.0,http://ciachef.edu/
Ashland University,1020,1255,1119,21,29,25.0,28910,Private,July 1,3.49,83,7.0,1.0,6616-18506,32.0,http://ashland.edu/
Aultman College of Nursing and Health Sciences,1022,1240,1120,23,28,27.5,19854,Private College,June 1,3.44,76,6.5,0.0,8299-19663,25.0,http://aultmancollege.edu/
